id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Kevon;Bernier;Corene_Morar35@gmail.com;Open-architected;2019-09-19T12:28:52;87737;32255
2;Name;Stanton;Bridie.Prohaska55@hotmail.com;protocol;2019-09-19T09:29:36;81011;25620
3;Sandra;Monahan;Arnaldo50@hotmail.com;digital deposit;2019-09-19T02:43:16;39678;79579
4;Ambrose;Towne;Eugenia_Barrows@hotmail.com;interfaces;2019-09-19T03:26:22;3594;32815
5;Jameson;Crist;Willie_Graham86@yahoo.com;Assimilated;2019-09-19T18:38:10;82260;30326
6;Forest;Leuschke;Ericka_Lebsack27@gmail.com;Orchestrator;2019-09-19T08:35:38;8534;84202
7;Amely;Dietrich;Hank_Lindgren13@yahoo.com;Frozen Analyst card;2019-09-19T18:34:57;79518;39882
8;Donato;Kemmer;Natalie2@yahoo.com;Brand;2019-09-18T23:30:17;42831;69597
9;Martina;Jaskolski;Chadd44@gmail.com;Optimized;2019-09-19T17:18:54;71459;18286
10;Maggie;Weber;Loy_Wilkinson@gmail.com;Jamaica Credit Card Account;2019-09-19T09:29:52;4771;24773
